"","genotype","population"
"1",0,"new_york"
"2",1,"new_york"
"3",0,"new_york"
"4",0,"new_york"
"5",1,"new_york"
"6",0,"new_york"
"7",0,"new_york"
"8",0,"new_york"
"9",1,"new_york"
"10",2,"new_york"
"11",0,"new_york"
"12",1,"new_york"
"13",0,"new_york"
"14",0,"new_york"
"15",1,"new_york"
"16",0,"new_york"
"17",1,"new_york"
"18",0,"new_york"
"19",1,"new_york"
"20",0,"new_york"
"21",1,"new_york"
"22",0,"new_york"
"23",0,"new_york"
"24",1,"new_york"
"25",0,"new_york"
"26",1,"new_york"
"27",1,"new_york"
"28",0,"new_york"
"29",2,"new_york"
"30",1,"new_york"
"31",1,"new_york"
"32",1,"new_york"
"33",1,"new_york"
"34",0,"new_york"
"35",1,"new_york"
"36",0,"new_york"
"37",1,"new_york"
"38",2,"new_york"
"39",0,"new_york"
"40",0,"new_york"
"41",0,"new_york"
"42",0,"new_york"
"43",1,"new_york"
"44",0,"new_york"
"45",1,"new_york"
"46",1,"new_york"
"47",0,"new_york"
"48",1,"new_york"
"49",1,"new_york"
"50",1,"new_york"
"51",0,"new_york"
"52",0,"new_york"
"53",1,"new_york"
"54",1,"new_york"
"55",0,"new_york"
"56",1,"new_york"
"57",0,"new_york"
"58",2,"new_york"
"59",0,"new_york"
"60",0,"new_york"
"61",0,"new_york"
"62",1,"new_york"
"63",0,"new_york"
"64",0,"new_york"
"65",0,"new_york"
"66",0,"new_york"
"67",0,"new_york"
"68",1,"new_york"
"69",1,"new_york"
"70",0,"new_york"
"71",0,"new_york"
"72",1,"new_york"
"73",0,"new_york"
"74",1,"new_york"
"75",0,"new_york"
"76",1,"new_york"
"77",0,"new_york"
"78",2,"new_york"
"79",2,"new_york"
"80",1,"new_york"
"81",1,"new_york"
"82",0,"new_york"
"83",1,"new_york"
"84",1,"new_york"
"85",1,"new_york"
"86",0,"new_york"
"87",1,"new_york"
"88",0,"new_york"
"89",0,"new_york"
"90",1,"new_york"
"91",0,"new_york"
"92",1,"new_york"
"93",0,"new_york"
"94",0,"new_york"
"95",2,"new_york"
"96",0,"new_york"
"97",0,"new_york"
"98",0,"new_york"
"99",1,"new_york"
"100",1,"new_york"
"101",2,"new_york"
"102",0,"new_york"
"103",0,"new_york"
"104",2,"new_york"
"105",0,"new_york"
"106",1,"new_york"
"107",0,"new_york"
"108",0,"new_york"
"109",0,"new_york"
"110",0,"new_york"
"111",0,"new_york"
"112",1,"new_york"
"113",0,"new_york"
"114",0,"new_york"
"115",2,"new_york"
"116",1,"new_york"
"117",1,"new_york"
"118",0,"new_york"
"119",0,"new_york"
"120",1,"new_york"
"121",0,"new_york"
"122",1,"new_york"
"123",0,"new_york"
"124",2,"new_york"
"125",1,"new_york"
"126",0,"new_york"
"127",1,"new_york"
"128",1,"new_york"
"129",1,"new_york"
"130",1,"new_york"
"131",0,"new_york"
"132",1,"new_york"
"133",0,"new_york"
"134",0,"new_york"
"135",0,"new_york"
"136",1,"new_york"
"137",1,"new_york"
"138",0,"new_york"
"139",0,"new_york"
"140",1,"new_york"
"141",0,"new_york"
"142",1,"new_york"
"143",1,"new_york"
"144",1,"new_york"
"145",0,"new_york"
"146",1,"new_york"
"147",0,"new_york"
"148",1,"new_york"
"149",1,"new_york"
"150",1,"new_york"
"151",1,"virginia"
"152",0,"virginia"
"153",1,"virginia"
"154",2,"virginia"
"155",2,"virginia"
"156",1,"virginia"
"157",0,"virginia"
"158",0,"virginia"
"159",0,"virginia"
"160",2,"virginia"
"161",1,"virginia"
"162",1,"virginia"
