"","genotype","population"
"1",0,"pennsylvania"
"2",0,"pennsylvania"
"3",0,"pennsylvania"
"4",1,"pennsylvania"
"5",0,"pennsylvania"
"6",0,"pennsylvania"
"7",1,"pennsylvania"
"8",0,"pennsylvania"
"9",0,"pennsylvania"
"10",0,"pennsylvania"
"11",0,"pennsylvania"
"12",0,"pennsylvania"
"13",0,"pennsylvania"
"14",0,"pennsylvania"
"15",0,"pennsylvania"
"16",0,"pennsylvania"
"17",0,"pennsylvania"
"18",0,"pennsylvania"
"19",1,"pennsylvania"
"20",0,"pennsylvania"
"21",0,"pennsylvania"
"22",0,"pennsylvania"
"23",0,"pennsylvania"
"24",0,"pennsylvania"
"25",0,"pennsylvania"
"26",0,"pennsylvania"
"27",0,"pennsylvania"
"28",0,"pennsylvania"
"29",0,"pennsylvania"
"30",0,"pennsylvania"
"31",1,"pennsylvania"
"32",0,"pennsylvania"
"33",0,"pennsylvania"
"34",0,"pennsylvania"
"35",0,"pennsylvania"
"36",1,"pennsylvania"
"37",0,"pennsylvania"
"38",0,"pennsylvania"
"39",0,"pennsylvania"
"40",1,"pennsylvania"
"41",0,"pennsylvania"
"42",0,"pennsylvania"
"43",1,"pennsylvania"
"44",0,"pennsylvania"
"45",0,"pennsylvania"
"46",0,"pennsylvania"
"47",0,"pennsylvania"
"48",0,"pennsylvania"
"49",1,"pennsylvania"
"50",1,"pennsylvania"
"51",1,"pennsylvania"
"52",0,"pennsylvania"
"53",0,"pennsylvania"
"54",0,"pennsylvania"
"55",0,"pennsylvania"
"56",0,"pennsylvania"
"57",0,"pennsylvania"
"58",0,"pennsylvania"
"59",0,"pennsylvania"
"60",0,"pennsylvania"
"61",0,"pennsylvania"
"62",0,"pennsylvania"
"63",0,"pennsylvania"
"64",0,"pennsylvania"
"65",0,"pennsylvania"
"66",0,"pennsylvania"
"67",1,"pennsylvania"
"68",0,"pennsylvania"
"69",0,"pennsylvania"
"70",0,"pennsylvania"
"71",0,"pennsylvania"
"72",0,"pennsylvania"
"73",0,"pennsylvania"
"74",0,"pennsylvania"
"75",0,"pennsylvania"
"76",0,"kentucky"
"77",2,"kentucky"
"78",0,"kentucky"
"79",1,"kentucky"
"80",2,"kentucky"
"81",2,"kentucky"
"82",2,"kentucky"
"83",1,"kentucky"
"84",1,"kentucky"
"85",0,"kentucky"
"86",2,"kentucky"
"87",1,"kentucky"
"88",1,"kentucky"
"89",1,"kentucky"
"90",1,"kentucky"
"91",2,"kentucky"
"92",2,"kentucky"
"93",1,"kentucky"
"94",0,"kentucky"
"95",2,"kentucky"
"96",2,"kentucky"
"97",0,"kentucky"
"98",1,"kentucky"
"99",1,"kentucky"
"100",0,"kentucky"
"101",2,"kentucky"
"102",1,"kentucky"
"103",0,"kentucky"
"104",2,"kentucky"
"105",1,"kentucky"
"106",2,"kentucky"
"107",1,"kentucky"
"108",2,"kentucky"
"109",1,"kentucky"
"110",1,"kentucky"
"111",2,"kentucky"
"112",2,"kentucky"
"113",2,"kentucky"
"114",2,"kentucky"
"115",2,"kentucky"
"116",1,"kentucky"
"117",0,"kentucky"
"118",1,"kentucky"
"119",2,"kentucky"
"120",2,"kentucky"
"121",2,"kentucky"
"122",0,"kentucky"
"123",1,"kentucky"
"124",2,"kentucky"
"125",2,"kentucky"
"126",2,"kentucky"
"127",1,"kentucky"
"128",2,"kentucky"
"129",1,"kentucky"
"130",2,"kentucky"
"131",1,"kentucky"
"132",1,"kentucky"
"133",0,"kentucky"
"134",0,"kentucky"
"135",1,"kentucky"
"136",1,"kentucky"
"137",1,"kentucky"
"138",1,"kentucky"
"139",1,"kentucky"
"140",2,"kentucky"
"141",1,"kentucky"
"142",1,"kentucky"
"143",1,"kentucky"
"144",1,"kentucky"
"145",2,"kentucky"
"146",0,"kentucky"
"147",1,"kentucky"
"148",2,"kentucky"
"149",1,"kentucky"
"150",1,"kentucky"
