line,class.seed.progeny,freq
A,375,2
A,425,5
A,475,9
A,525,14
A,575,21
A,625,22
A,675,24
A,725,23
A,775,17
A,825,6
A,875,2
B,275,1
B,325,6
B,375,19
B,425,32
B,475,66
B,525,88
B,575,100
B,625,90
B,675,50
B,725,19
B,775,1
B,825,3
C,375,5
C,425,14
C,475,50
C,525,76
C,575,58
C,625,44
C,675,29
C,725,5
C,775,1
D,275,5
D,325,2
D,375,9
D,425,21
D,475,38
D,525,68
D,575,77
D,625,62
D,675,22
D,725,3
E,275,4
E,325,1
E,375,12
E,425,29
E,475,62
E,525,65
E,575,57
E,625,19
E,675,6
F,275,2
F,325,8
F,375,21
F,425,46
F,475,74
F,525,46
F,575,28
F,625,14
F,675,1
F,725,1
G,225,3
G,275,9
G,325,28
G,375,51
G,425,111
G,475,174
G,525,101
G,575,44
G,625,6
G,675,0
G,725,1
G,725,5
H,225,1
H,275,6
H,325,20
H,375,60
H,425,106
H,475,114
H,525,75
H,575,33
H,625,3
J,175,1
J,225,2
J,275,14
J,325,38
J,375,104
J,425,172
J,475,179
J,525,140
J,575,53
J,625,9
K,225,1
K,275,2
K,325,6
K,375,31
K,425,55
K,475,55
K,525,28
K,575,6
K,625,4
L,225,1
L,275,5
L,325,15
L,375,37
L,425,88
L,475,76
L,525,33
L,575,13
L,625,4
L,675,1
M,225,4
M,275,9
M,325,26
M,375,56
M,425,82
M,475,76
M,525,32
M,575,9
M,625,1
N,125,1
N,175,3
N,225,11
N,275,22
N,325,29
N,375,72
N,425,120
N,475,69
N,525,23
N,575,5
N,625,2
O,125,4
O,175,4
O,225,5
O,275,19
O,325,69
O,375,69
O,425,44
O,475,5
P,275,3
P,325,1
P,375,18
P,425,35
P,475,27
P,525,13
P,575,3
P,625,4
P,675,2
Q,225,1
Q,275,2
Q,325,7
Q,375,16
Q,425,44
Q,475,93
Q,525,80
Q,575,52
Q,625,10
R,275,2
R,325,3
R,375,12
R,425,17
R,475,27
R,525,19
R,575,3
S,225,1
S,275,2
S,325,3
S,375,8
S,425,27
S,475,47
S,525,37
S,575,30
S,625,4
T,325,1
T,375,6
T,425,20
T,475,37
T,525,39
T,575,30
T,625,8
